id,district,status,school_name,school_name_with_some_districts_attached,participating,address_x,address_y,city_x,city_y,score,duped
749,LAUSD,Active,Huntington Park Senior High (LAUSD),Huntington Park Senior High,True,6020 Miles Ave,6020 Miles Ave.,Huntington Park,Huntington Park, 100.0,False
750,LAUSD,,Huntington Park Senior High STEAM Magnet (LAUSD),Huntington Park Senior High STEAM Magnet,True,6020 Miles Ave,,Huntington Park,, 95.0,False
751,LAUSD,Active,Independence Continuation High (LAUSD),Independence Continuation High,True,6501 Balboa Blvd,12150 Road 36,Lake Balboa,Madera, 100.0,False
752,LAUSD,Active,Independence Elementary (LAUSD),Independence Elementary (Rosedale Union Elementary),True,8435 Victoria Ave,2345 Old Farm Rd.,South Gate,Bakersfield, 100.0,True
753,LAUSD,Active,Independence Elementary (LAUSD),Independence Elementary (Los Angeles Unified),True,8435 Victoria Ave,8435 Victoria Ave.,South Gate,South Gate, 100.0,True
754,LAUSD,,Independence Elementary DL Two-Way Im Spanish (LAUSD),Independence Elementary DL Two-Way Im Spanish,True,8435 Victoria Ave,,South Gate,, 90.0,False
755,LAUSD,,Independence Elementary STEM Magnet (LAUSD),Independence Elementary STEM Magnet,True,8435 Victoria Ave,,South Gate,, 90.0,False
756,LAUSD,,International Studies Learning Center (LAUSD),International Studies Learning Center,True,5225 Tweedy Blvd,,South Gate,, 90.0,False
757,LAUSD,Active,Ivanhoe Elementary (LAUSD),Ivanhoe Elementary (Los Angeles Unified),True,2828 Herkimer St,2828 Herkimer St.,Los Angeles,Los Angeles, 100.0,True
758,LAUSD,Active,Ivanhoe Elementary (LAUSD),Ivanhoe Elementary (Visalia Unified),True,2828 Herkimer St,16030 Avenue 332,Los Angeles,Ivanhoe, 100.0,True
759,LAUSD,,Jack London Community Day School (LAUSD),Jack London Community Day School,True,12924-A Oxnard St,,Valley Glen,, 95.0,False
760,LAUSD,,Jack London Continuation High (LAUSD),Jack London Continuation High,True,12924 Oxnard St,,Van Nuys,, 95.0,False
761,LAUSD,,Jaime Escalante Elementary School (LAUSD),Jaime Escalante Elementary School,True,4443 Live Oak St,,Cudahy,, 95.0,False
762,LAUSD,Active,James A Garfield Senior High (LAUSD),James A Garfield Senior High,True,5101 E 6th St,5101 East Sixth St.,Los Angeles,Los Angeles, 100.0,False
763,LAUSD,,James A Garfield Senior High Computer Science Magnet (LAUSD),James A Garfield Senior High Computer Science Magnet,True,5101 E 6th St,,Los Angeles,, 90.0,False
764,LAUSD,Active,James J McBride Special Education Center (LAUSD),James J McBride Special Education Center,True,3960 Centinela Ave,3960 Centinela Ave.,Los Angeles,Los Angeles, 100.0,False
765,LAUSD,,James Madison Middle School (LAUSD),James Madison Middle School,True,13000 Hart St,,North Hollywood,, 95.0,False
766,LAUSD,,James Madison Middle School Comp Sci/Eng Design Magnet (LAUSD),James Madison Middle School Comp Sci/Eng Design Magnet,True,13000 Hart St,,North Hollywood,, 90.0,False
767,LAUSD,,James Madison Middle School Medical/Math/Science Magnet (LAUSD),James Madison Middle School Medical/Math/Science Magnet,True,13000 Hart St,,North Hollywood,, 90.0,False
768,LAUSD,,James Monroe Senior High (LAUSD),James Monroe Senior High,True,9229 Haskell Ave,,North Hills,, 95.0,False
769,LAUSD,,James Monroe Senior High Firefighter Academy Magnet (LAUSD),James Monroe Senior High Firefighter Academy Magnet,True,9229 Haskell Ave,,North Hills,,,False
770,LAUSD,,James Monroe Senior High Law/Government Magnet (LAUSD),James Monroe Senior High Law/Government Magnet,True,9229 Haskell Ave,,North Hills,,,False
771,LAUSD,,James Monroe Senior High Police Academy Magnet (LAUSD),James Monroe Senior High Police Academy Magnet,True,9229 Haskell Ave,,North Hills,,,False
772,LAUSD,,James Monroe Senior High Police Orientation & Prep Prog OLC (LAUSD),James Monroe Senior High Police Orientation & Prep Prog OLC,True,9229 Haskell Ave,,North Hills,,,False
773,LAUSD,,Jane Addams Continuation High (LAUSD),Jane Addams Continuation High,True,16341 Donmetz St,,Granada Hills,, 95.0,False
774,LAUSD,Active,Joaquin Miller Career and Transition Center (LAUSD),Joaquin Miller Career and Transition Center,True,8218 Vanalden Ave,8218 Vanalden Ave.,Reseda,Reseda, 100.0,False
775,LAUSD,,John A Sutter Middle School (LAUSD),John A Sutter Middle School,True,7330 Winnetka Ave,,Winnetka,, 95.0,False
776,LAUSD,,John A Sutter Middle School STEAM Magnet (LAUSD),John A Sutter Middle School STEAM Magnet,True,7330 Winnetka Ave,,Winnetka,, 90.0,False
777,LAUSD,,John Adams Middle School (LAUSD),John Adams Middle School,True,151 W 30th St,,Los Angeles,, 95.0,False
778,LAUSD,,John Adams Middle School Gifted Magnet (LAUSD),John Adams Middle School Gifted Magnet,True,151 W 30th St,,Los Angeles,, 90.0,False
779,LAUSD,Active,John B Monlux Elementary (LAUSD),John B Monlux Elementary,True,6051 Bellaire Ave,6051 Bellaire Ave.,North Hollywood,North Hollywood, 100.0,False
780,LAUSD,,John B Monlux Elementary Science/Tech/Math Magnet (LAUSD),John B Monlux Elementary Science/Tech/Math Magnet,True,6051 Bellaire Ave,,North Hollywood,, 90.0,False
781,LAUSD,,John Burroughs Middle School (LAUSD),John Burroughs Middle School,True,600 S Mc Cadden Pl,,Los Angeles,, 95.0,False
782,LAUSD,,John Burroughs Middle School Gifted Magnet (LAUSD),John Burroughs Middle School Gifted Magnet,True,600 S Mc Cadden Pl,,Los Angeles,, 90.0,False
783,LAUSD,Active,John C Fremont Senior High (LAUSD),John C Fremont Senior High,True,7676 S San Pedro St,7676 South San Pedro St.,Los Angeles,Los Angeles, 100.0,False
784,LAUSD,,John C Fremont Senior High STEAM Magnet (LAUSD),John C Fremont Senior High STEAM Magnet,True,7676 S San Pedro St,,Los Angeles,, 90.0,False
785,LAUSD,,John F Kennedy Senior High (LAUSD),John F Kennedy Senior High,True,11254 Gothic Ave,,Granada Hills,, 95.0,False
786,LAUSD,,John F Kennedy Senior High Archtctre/Dgtl Dsgn/Filmmakng Mag (LAUSD),John F Kennedy Senior High Archtctre/Dgtl Dsgn/Filmmakng Mag,True,11254 Gothic Ave,,Granada Hills,,,False
787,LAUSD,,John F Kennedy Senior High Gifted Medical Magnet (LAUSD),John F Kennedy Senior High Gifted Medical Magnet,True,11254 Gothic Ave,,Granada Hills,,,False
788,LAUSD,,John F Kennedy Senior High Global Lead/Env Action Magnet (LAUSD),John F Kennedy Senior High Global Lead/Env Action Magnet,True,11254 Gothic Ave,,Granada Hills,,,False
789,LAUSD,,John H Francis Polytechnic Senior High (LAUSD),John H Francis Polytechnic Senior High,True,12431 Roscoe Blvd,,Sun Valley,, 95.0,False
790,LAUSD,,John H Francis Polytechnic SH Sci/Tech/Math Magnet (LAUSD),John H Francis Polytechnic SH Sci/Tech/Math Magnet,True,12431 Roscoe Blvd,,Sun Valley,, 90.0,False
791,LAUSD,,John H Liechty Middle School (LAUSD),John H Liechty Middle School,True,650 S Union Ave,,Los Angeles,, 95.0,False
792,LAUSD,,John Hope Continuation High (LAUSD),John Hope Continuation High,True,7840 Towne Ave,,Los Angeles,, 95.0,False
793,LAUSD,Active,John Marshall Senior High (LAUSD),John Marshall Senior High,True,3939 Tracy St,3939 Tracy St.,Los Angeles,Los Angeles, 100.0,False
794,LAUSD,,John Marshall Senior High Gifted Magnet (LAUSD),John Marshall Senior High Gifted Magnet,True,3939 Tracy St,,Los Angeles,, 90.0,False
795,LAUSD,,John Muir Middle School (LAUSD),John Muir Middle School,True,5929 S Vermont Ave,,Los Angeles,, 95.0,False
796,LAUSD,,John Muir Middle School Science/Tech/Math Magnet (LAUSD),John Muir Middle School Science/Tech/Math Magnet,True,5929 S Vermont Ave,,Los Angeles,, 90.0,False
797,LAUSD,,John R Wooden High School (LAUSD),John R Wooden High School,True,18741 Elkwood St,,Reseda,, 95.0,False
798,LAUSD,Active,John W Mack Elementary (LAUSD),John W Mack Elementary,True,3020 S Catalina St,3020 South Catalina St.,Los Angeles,Los Angeles, 100.0,False
799,LAUSD,,John W Mack Elementary DL Two-Way Im Spanish (LAUSD),John W Mack Elementary DL Two-Way Im Spanish,True,3020 S Catalina St,,Los Angeles,, 90.0,False
800,LAUSD,,Johnnie L Cochran Jr Middle School (LAUSD),Johnnie L Cochran Jr Middle School,True,4066 W Johnnie Cochran Vista,,Los Angeles,, 95.0,False
