school,district,street,city,state,zip
La Verne Heights Elementary (Bonita Unified),Bonita Unified,1550 Baseline Rd.,La Verne,CA,91773-1437
Leroy Haynes Educational Center (Bonita Unified),Bonita Unified,233 West Baseline Rd.,La Verne,CA,91750-2353
Lighthouse Baptist Academy (Bonita Unified),Bonita Unified,2600 North White Ave.,La Verne,CA,91750-4601
Lone Hill Middle (Bonita Unified),Bonita Unified,700 South Lone Hill,San Dimas,CA,91773-1437
Lutheran High School La Verne (Bonita Unified),Bonita Unified,3960 Fruit St.,La Verne,CA,91750-2951
Oak Mesa Elementary (Bonita Unified),Bonita Unified,5200 Wheeler Ave.,La Verne,CA,91750-1546
Ramona Middle (Bonita Unified),Bonita Unified,3490 Ramona Ave.,San Dimas,CA,91773-1437
San Dimas High (Bonita Unified),Bonita Unified,800 West Covina Blvd.,San Dimas,CA,91773-1473
Vista (Alternative) (Bonita Unified),Bonita Unified,127 West Allen Ave.,San Dimas,CA,91773-1473
Adult Transition Program (Bonita Unified),Bonita Unified,800 West Covina Blvd.,San Dimas,CA,91773-2476
Allen Avenue Elementary (Bonita Unified),Bonita Unified,740 East Allen Ave.,San Dimas,CA,91773-1437
Arma J. Shull Elementary (Bonita Unified),Bonita Unified,825 North Amelia,San Dimas,CA,91773-1437
Arrow Montessori School of San Dimas (Bonita Unified),Bonita Unified,818 West Gladstone St.,San Dimas,CA,91773-1712
Bonita District Adult (Bonita Unified),Bonita Unified,115 West Allen Ave.,San Dimas,CA,91773-1437
Bonita High (Bonita Unified),Bonita Unified,3102 D St.,La Verne,CA,91750-4023
Calvary Baptist Schools (Bonita Unified),Bonita Unified,2990 Damien Ave.,La Verne,CA,91750-4110
Canyon View School (Bonita Unified),Bonita Unified,762 West Cypress St.,San Dimas,CA,91773-3505
Chaparral High (Continuation) (Bonita Unified),Bonita Unified,121 West Allen Ave.,San Dimas,CA,91773-1437
Damien High School (Bonita Unified),Bonita Unified,2280 Damien Ave.,La Verne,CA,91750-5296
Fred Ekstrand Elementary (Bonita Unified),Bonita Unified,400 North Walnut Ave.,San Dimas,CA,91773-1437
Gladstone Elementary (Bonita Unified),Bonita Unified,1314 West Gladstone,San Dimas,CA,91773-1437
Grace Miller Elementary (Bonita Unified),Bonita Unified,1629 Holly Oak St.,La Verne,CA,91773-1437
Holy Name of Mary (Bonita Unified),Bonita Unified,124 South San Dimas Canyon Rd.,San Dimas,CA,91773-3152
George Washington Elementary (Burbank Unified),Burbank Unified,2322 North Lincoln St.,Burbank,CA,91504-2625
Horace Mann (Burbank Unified),Burbank Unified,3401 Scott Rd.,Burbank,CA,91504-1736
Joaquin Miller Elementary (Burbank Unified),Burbank Unified,720 East Providencia Ave.,Burbank,CA,91501-2409
John Muir Middle (Burbank Unified),Burbank Unified,1111 North Kenneth Rd.,Burbank,CA,91504-4011
Little Angels Academy Burbank Inc. (Burbank Unified),Burbank Unified,721 S. San Fernando Blvd.,Burbank,CA,91502-1445
Luther Burbank Middle (Burbank Unified),Burbank Unified,3700 West Jeffries Ave.,Burbank,CA,91505-1849
Magnolia Park (Burbank Unified),Burbank Unified,1915 Monterey Ave.,Burbank,CA,91506-1107
Bret Harte Elementary (Burbank Unified),Burbank Unified,3200 West Jeffries Ave.,Burbank,CA,91505-1945
Brighton Hall (Burbank Unified),Burbank Unified,755 N. Whitnall Hwy,Burbank,CA,91505-2951
Burbank Adult (Burbank Unified),Burbank Unified,3811 Allan Ave.,Burbank,CA,91505-1809
Burbank High (Burbank Unified),Burbank Unified,902 North Third St.,Burbank,CA,91502-1018
Burbank Montessori Academy (Burbank Unified),Burbank Unified,"217 N Hollywood Way,",Burbank,CA,91505-3428
Burbank Unified Independent Learning Academy (BUILA) (Burbank Unified),Burbank Unified,3715 Allan Ave.,Burbank,CA,91505
Burbank USD Community Day (Burbank Unified),Burbank Unified,223 East Santa Anita Ave.,Burbank,CA,91502-1447
Burroughs High (Burbank Unified),Burbank Unified,1920 Clark Ave.,Burbank,CA,91506-1918
Dolores Huerta Middle (Burbank Unified),Burbank Unified,420 South Mariposa St.,Burbank,CA,91506-2812
William McKinley Elementary (Burbank Unified),Burbank Unified,349 West Valencia Ave.,Burbank,CA,91506-3309
Monterey High (Continuation) (Burbank Unified),Burbank Unified,1915 Monterey Ave.,Burbank,CA,91506-1107
Providence High School (Burbank Unified),Burbank Unified,511 S. Buena Vista St.,Burbank,CA,91505-4809
Providencia Elementary (Burbank Unified),Burbank Unified,1919 North Ontario St.,Burbank,CA,91505-1231
R. L. Stevenson Elementary (Burbank Unified),Burbank Unified,3333 Oak St.,Burbank,CA,91505-3514
Ralph Emerson Elementary (Burbank Unified),Burbank Unified,720 East Cypress Ave.,Burbank,CA,91501-1812
Saint Finbar School (Burbank Unified),Burbank Unified,2120 West Olive Ave.,Burbank,CA,91506-2624
Saint Francis Xavier School (Burbank Unified),Burbank Unified,3601 Scott Rd.,Burbank,CA,91504-1702
Scholars Preparatory School (Burbank Unified),Burbank Unified,1001 South Glenoaks Blvd.,Burbank,CA,91502-1585
St. Robert Bellarmine Elementary (Burbank Unified),Burbank Unified,154 North 5th St.,Burbank,CA,91501-2107
Theodore Roosevelt Elementary Burbank (Burbank Unified),Burbank Unified,850 North Cordova St.,Burbank,CA,91505-2923
Thomas Edison Elementary (Burbank Unified),Burbank Unified,2110 West Chestnut St.,Burbank,CA,91506-1520
Thomas Jefferson Elementary (Burbank) (Burbank Unified),Burbank Unified,1900 North Sixth St.,Burbank,CA,91504-2932
Walt Disney Elementary (Burbank Unified),Burbank Unified,1220 West Orange Grove Ave.,Burbank,CA,91506-2016
California Advancing Pathways for Students in Los Angeles County (California Advancing Pathways for Students in Los Angeles County ROC/P),California Advancing Pathways for Students in Los Angeles County ROC/P,16703 South Clark Ave.,Bellflower,CA,90706-5203
Camino Nuevo Charter Academy (Camino Nuevo District),Camino Nuevo District,697 South Burlington Ave.,Los Angeles,CA,90057-3743
Camino Nuevo Charter Elementary Academy #2 (Camino Nuevo District),Camino Nuevo District,3400 West 3rd St.,Los Angeles,CA,90020-1605
Camino Nuevo Charter Academy #4 (Camino Nuevo District),Camino Nuevo District,1018 Mohawk St.,Los Angeles,CA,90026-3131
Camino Nuevo Elementary #3 (Camino Nuevo District),Camino Nuevo District,1723 Cordova St.,Los Angeles,CA,90007-1114
Dalzell Lance Camino Nuevo High #2 (Camino Nuevo District),Camino Nuevo District,3500 West Temple St.,Los Angeles,CA,90004-3620
Castaic Elementary (Castaic Union),Castaic Union,30455 Park Vista Dr.,Castaic,CA,91384-3728
Castaic Middle (Castaic Union),Castaic Union,28900 Hillcrest Pkwy.,Castaic,CA,91384-3759
Live Oak Elementary (Castaic Union),Castaic Union,27715 Saddleridge Rd.,Castaic,CA,91384-3528
Non-RIS Preschool CMS (Castaic Union),Castaic Union,28900 Hillcrest Pkwy.,Castaic,CA,91384-3759
Northlake Hills Elementary (Castaic Union),Castaic Union,32545 Ridge Route Rd.,Castaic,CA,91384-4133
Trinity Classical Academy (Castaic Union),Castaic Union,28310 Kelly Johnson Pkwy.,Santa Clarita,CA,91355-5036
Tutor Time (Castaic Union),Castaic Union,29421 The Old Rd,Castaic,CA,91384-2902
Centinela Valley Unified (Centinela Valley Union High),Centinela Valley Union High,,,,
Centinela Valley Adult (Centinela Valley Union High),Centinela Valley Union High,4951 Marine Ave.,Lawndale,CA,90260
Centinela Valley Independent Study (Centinela Valley Union High),Centinela Valley Union High,4951 Marine Ave.,Lawndale,CA,90260-4204
Family First Charter (Centinela Valley Union High),Centinela Valley Union High,12500 Ramona Ave.,Hawthorne,CA,90250-4330
Hawthorne High (Centinela Valley Union High),Centinela Valley Union High,4859 West El Segundo Blvd.,Hawthorne,CA,90250-4204
Lawndale High (Centinela Valley Union High),Centinela Valley Union High,14901 South Inglewood Ave.,Lawndale,CA,90260-1251
Leuzinger High (Centinela Valley Union High),Centinela Valley Union High,4118 West Rosecrans Ave.,Lawndale,CA,90260-1601
New Opportunities Charter (Centinela Valley Union High),Centinela Valley Union High,110 South La Brea Ave.,Inglewood,CA,90301-1768
R. K. Lloyde High (Centinela Valley Union High),Centinela Valley Union High,4951 Marine Ave.,Lawndale,CA,90260-1251
Vistamar School (Centinela Valley Union High),Centinela Valley Union High,737 Hawaii St.,El Segundo,CA,90245-4816
Cerritos Community College (Cerritos Community College District),Cerritos Community College District,11110 Alondra Blvd,Norwalk,CA,90650
Bridges Community Day (Charter Oak Unified),Charter Oak Unified,1505 South Sunflower Ave.,Glendora,CA,91740-5839
Cedargrove Elementary (Charter Oak Unified),Charter Oak Unified,1209 North Glendora Ave.,Covina,CA,91724-1506
Charter Oak Adult Education (Charter Oak Unified),Charter Oak Unified,20350 East Cienega Ave.,Covina,CA,91724
Charter Oak High (Charter Oak Unified),Charter Oak Unified,1430 East Covina Blvd.,Covina,CA,91724-1651
Glen Oak Elementary (Charter Oak Unified),Charter Oak Unified,1000 North Sunflower Ave.,Covina,CA,91724-2307
Oak Knoll Alternative (Charter Oak Unified),Charter Oak Unified,1505 South Sunflower Ave.,Glendora,CA,91740-5839
Royal Oak Middle (Charter Oak Unified),Charter Oak Unified,303 South Glendora Ave.,Covina,CA,91724-3235
Sonrise Christian (Charter Oak Unified),Charter Oak Unified,1220 East Ruddock St.,Covina,CA,91724-2733
St. Louise de Marillac School (Charter Oak Unified),Charter Oak Unified,1728 E. Covina Blvd.,Covina,CA,91724-1640
The Learning Tree (Charter Oak Unified),Charter Oak Unified,1557 East Puente St.,Covina,CA,91724-3218
Washington Elementary (Glendora) (Charter Oak Unified),Charter Oak Unified,325 West Gladstone,Glendora,CA,91740-5503
Willow Elementary (Charter Oak Unified),Charter Oak Unified,1427 South Willow,Glendora,CA,91740-5826
Arrow High (Continuation) (Charter Oak Unified),Charter Oak Unified,1505 South Sunflower Ave.,Glendora,CA,91740-5839
Badillo Elementary (Charter Oak Unified),Charter Oak Unified,1771 East Old Badillo Ave.,Covina,CA,91724-3126
Citizens of the World Charter School 5 (Citizens of the World District),Citizens of the World District,19452 Hart St.,Reseda,CA,91335-3735
Citizens of the World Charter School Hollywood (Citizens of the World District),Citizens of the World District,1316 North Bronson Ave.,Los Angeles,CA,90028-8497
Citizens of the World Charter School Mar Vista (Citizens of the World District),Citizens of the World District,11561 Gateway Blvd.,Los Angeles,CA,90064-3009
Citizens of the World Charter School Silver Lake (Citizens of the World District),Citizens of the World District,110 North Coronado St.,Los Angeles,CA,90026-5206
Citrus College (Citrus College District),Citrus College District,,,,
Academy of Sports Science (Claremont Unified),Claremont Unified,915 W. Foothill Blvd. C635,Claremont,CA,91711
"California Academy, Claremont (Claremont Unified)",Claremont Unified,1325 N College Ave,Claremont,CA,91711-3154
Chaparral Elementary (Claremont Unified),Claremont Unified,451 Chaparral Dr.,Claremont,CA,91711-2643
City of Knowledge (Claremont Unified),Claremont Unified,3285 North Garey Ave.,Pomona,CA,91767-1307
Claremont Adult (Claremont Unified),Claremont Unified,170 West San Jose Ave.,Claremont,CA,91711-2643
Claremont High (Claremont Unified),Claremont Unified,1601 North Indian Hill Blvd.,Claremont,CA,91711-2643
Community Day (Claremont Unified),Claremont Unified,125 West San Jose Ave.,Claremont,CA,91711-5205
Condit Elementary (Claremont Unified),Claremont Unified,1750 North Mountain Ave.,Claremont,CA,91711-2643
Danbury Special Education (Claremont Unified),Claremont Unified,1745 Lynoak Dr.,Claremont,CA,91711-2421
El Roble Intermediate (Claremont Unified),Claremont Unified,665 North Mountain Ave.,Claremont,CA,91711-4253
Foothill Country Day School (Claremont Unified),Claremont Unified,1035 West Harrison Ave.,Claremont,CA,91711-4133
ICC Community School (Claremont Unified),Claremont Unified,3619 North Garey Ave.,Pomona,CA,91767-1139
Mountain View Elementary (Claremont Unified),Claremont Unified,851 Santa Clara Ave.,Claremont,CA,91711-3609
Oakmont Elementary (Claremont Unified),Claremont Unified,120 West Green St.,Claremont,CA,91711-4912
Our Lady of the Assumption (Claremont Unified),Claremont Unified,611 West Bonita Ave.,Claremont,CA,91711-4513
San Antonio High (Continuation) (Claremont Unified),Claremont Unified,125 West San Jose Ave.,Claremont,CA,91711-5205
Sumner Elementary (Claremont Unified),Claremont Unified,1770 Sumner Ave.,Claremont,CA,91711-3031
Sycamore Elementary (Claremont Unified),Claremont Unified,225 West Eighth St.,Claremont,CA,91711-4317
The Webb Schools (Claremont Unified),Claremont Unified,1175 West Baseline Rd.,Claremont,CA,91711-2146
Vista del Valle Elementary (Claremont Unified),Claremont Unified,550 Vista Dr.,Claremont,CA,91711-5120
Western Christian (Claremont Unified),Claremont Unified,3105 Padua Ave,Claremont,CA,91711-2253
Compton College (Compton College District),Compton College District,1111 E Artesia Blvd.,Compton,CA,90221
Anderson Elementary (Compton Unified),Compton Unified,2210 East 130th St.,Compton,CA,90222-2110
Barack Obama Charter (Compton Unified),Compton Unified,13305 South San Pedro St.,Los Angeles,CA,90061-2254
Bunche Middle (Compton Unified),Compton Unified,12338 Mona Blvd.,Compton,CA,90220-1320
Bursch Elementary (Compton Unified),Compton Unified,2505 West 156th St.,Compton,CA,90220-2640
Carver Elementary (Compton Unified),Compton Unified,1425 East 120th St.,Los Angeles,CA,90059-2418
Centennial High (Compton Unified),Compton Unified,2606 North Central Ave.,Compton,CA,90222-1640
Tibby Elementary (Compton Unified),Compton Unified,1400 West Poplar St.,Compton,CA,90220-1537
Today's Fresh Start-Compton (Compton Unified),Compton Unified,4476 Crenshaw Blvd.,Los Angeles,CA,90043-1208
Walton Middle (Compton Unified),Compton Unified,900 West Greenleaf Ave.,Compton,CA,90220-5101
Washington Elementary (Compton Unified),Compton Unified,1421 North Wilmington Ave.,Compton,CA,90222-3406
Whaley Middle (Compton Unified),Compton Unified,14401 South Gibson Ave.,Compton,CA,90221-2514
Willowbrook Middle (Compton Unified),Compton Unified,2601 North Wilmington Ave.,Compton,CA,90222-2004
Jefferson Elementary (Compton Unified),Compton Unified,2508 East 133rd St.,Compton,CA,90222-2723
Juniorversity (Compton Unified),Compton Unified,2400 S. Central Ave.,Compton,CA,90220-5400
Kelly Elementary (Compton Unified),Compton Unified,2320 East Alondra Blvd.,Compton,CA,90221-4202
KIPP Compton Community (Compton Unified),Compton Unified,13305 South San Pedro St.,Los Angeles,CA,90061-2254
Laurel Street Elementary (Compton Unified),Compton Unified,1321 West Laurel St.,Compton,CA,90220-2801
Liberty (Compton Unified),Compton Unified,1133 E. Compton Blvd.,Compton,CA,90221-3307
Lifeline Education Charter (Compton Unified),Compton Unified,225 South Santa Fe Ave.,Compton,CA,90221-3240
Longfellow Elementary (Compton Unified),Compton Unified,1101 South Dwight St.,Compton,CA,90220-4496
Los Angeles Adventist Academy (Compton Unified),Compton Unified,846 East El Segundo Blvd.,Los Angeles,CA,90059-3310
Los Angeles Computer Science Academy (Compton Unified),Compton Unified,1446 West Florence Ave.,Los Angeles,CA,90047-2209
Mandela Children's Learning Village (Compton Unified),Compton Unified,531 W Tichenor St.,Compton,CA,90220-4663
Martin Luther King Elementary (Compton Unified),Compton Unified,2270 East 122nd St.,Compton,CA,90222-1304
Mayo Elementary (Compton Unified),Compton Unified,915 North Mayo Ave.,Compton,CA,90221-2112
McKinley Elementary (Compton Unified),Compton Unified,14431 Stanford Ave.,Compton,CA,90220-1128
Optimal Christian Academy (Compton Unified),Compton Unified,1300 E. Palmer St.,Compton,CA,90221-2810
Our Lady of Victory Elementary (Compton Unified),Compton Unified,601 East Palmer St.,Compton,CA,90221-2615
Ralph Bunche Elementary (Compton Unified),Compton Unified,16223 South Haskins Ln.,Carson,CA,90746-1021
Red Star (Compton Unified),Compton Unified,8218 Painter Ave.,Whittier,CA,90602-3107
Robert F. Kennedy Elementary (Compton) (Compton Unified),Compton Unified,1305 South Oleander St.,Compton,CA,90220-4646
Cesar Chavez Continuation High (Compton Unified),Compton Unified,15301 San Jose Ave.,Compton,CA,90221-3131
"Clinton, William Jefferson (Compton Unified)",Compton Unified,6500 Compton Blvd.,Compton,CA,90221-3181
Compton Adult (Compton Unified),Compton Unified,1104 East 148th St.,Compton,CA,90222
Compton Community Day High (Compton Unified),Compton Unified,2300 West Caldwell St.,Compton,CA,90220-4116
Compton Community Day Middle (Compton Unified),Compton Unified,2300 West Caldwell St.,Compton,CA,90220-4116
Compton Early College High (Compton Unified),Compton Unified,2601 North Wilmington Ave.,Compton,CA,90222-2004
Compton High (Compton Unified),Compton Unified,1200 East Alondra Blvd.,Compton,CA,90221-3702
Compton STEP (Compton Unified),Compton Unified,417 West Alondra Blvd.,Compton,CA,90220-4638
Davis Middle (Compton Unified),Compton Unified,621 West Poplar St.,Compton,CA,90220-1927
Dickison Elementary (Compton Unified),Compton Unified,905 North Aranbe St.,Compton,CA,90220-2023
Dominguez High (Compton Unified),Compton Unified,15301 South San Jose Ave.,Compton,CA,90221-3131
Eko Multi-Purpose Center (Compton Unified),Compton Unified,403 South Santa Fe Ave.,Compton,CA,90224-3243
Emerson Elementary (Compton Unified),Compton Unified,1011 East Caldwell St.,Compton,CA,90221-4340
Enterprise Middle (Compton Unified),Compton Unified,2600 West Compton Blvd.,Compton,CA,90220-1324
Epiphany Academy (Compton Unified),Compton Unified,302 North Long Beach Blvd.,Compton,CA,90221-2869
Foster Elementary (Compton Unified),Compton Unified,1620 North Pannes St.,Compton,CA,90221-1734
Ingenium Clarion Charter Middle (Compton Unified),Compton Unified,13305 South San Pedro St.,Los Angeles,CA,90061-2254
ISANA Achernar Academy (Compton Unified),Compton Unified,310 East El Segundo Blvd.,Compton,CA,90222-2315
Ronald E. McNair Elementary (Compton Unified),Compton Unified,1450 West El Segundo Ave.,Compton,CA,90222-1145
